BioWare Version 5.3.2.9 Export
Device:	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6
Samples (#):	4000	4000	4000	4000	4000	4000	4000	4000	4000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	861	861	861	861	861	861	861	861	861
Contact period end (sample #):	3999	3999	3999	3999	3999	3999	3999	3999	3999
Contact period start time (s):	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000
Contact period end time (s):	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	|Ft|	Mx	My	Mz	Ax	Ay
	N	N	N	N	N m	N m	N m	m	m
0.490000	0.012353	0.068260	-0.231550	0.241717	0.056796	-0.255169	0.009974	-0.031931	-0.008228
0.495000	0.012533	-0.126696	-0.389225	0.409518	0.021643	0.051243	-0.038857	-0.031931	-0.008228
0.500000	-0.221767	0.029424	-1.201732	1.222377	0.058032	0.007075	0.010360	-0.031931	-0.008228
0.505000	0.168554	0.068200	0.416904	0.454830	0.056752	-0.248439	-0.006447	0.563983	0.127900
0.510000	-0.143667	-0.087621	-0.715097	0.734630	0.273320	-0.023811	-0.014243	-0.031931	-0.008228
0.515000	0.090364	-0.009591	0.096560	0.132595	-0.109462	0.020815	0.062991	-0.247495	-1.141845
0.520000	0.012263	0.029304	0.095862	0.100988	0.142087	0.085283	0.038460	-0.921576	1.473973
0.525000	-0.026832	0.185245	-0.549301	0.580316	-0.370772	0.220327	0.048650	-0.031931	-0.008228
0.530000	-0.026472	-0.126696	1.228544	1.235343	0.191089	-0.017958	-0.048998	-0.017314	0.147313
0.535000	-0.026652	-0.009711	-0.875688	0.876147	-0.193597	0.151793	-0.000180	-0.031931	-0.008228
0.540000	0.090633	-0.048487	0.422599	0.434920	-0.192458	0.225360	0.026628	-0.565202	-0.463644
0.545000	0.051538	-0.048666	-0.229993	0.240669	-0.107366	-0.185203	-0.012329	-0.031931	-0.008228
0.550000	0.012084	0.107275	-0.553798	0.564222	0.139339	0.084913	0.079085	-0.031931	-0.008228
0.555000	0.129549	-0.087502	-1.038529	1.050229	-0.316710	0.056184	0.048882	-0.031931	-0.008228
0.560000	-0.104572	0.029245	-0.390259	0.405083	0.015698	0.114473	-0.048950	-0.031931	-0.008228
0.565000	0.051359	0.107335	-0.068344	0.137220	-0.408305	-0.014550	0.044682	-0.031931	-0.008228
0.570000	-0.026562	-0.126756	0.095520	0.160924	0.064432	0.151868	-0.045066	-1.621844	0.666317
0.575000	-0.143667	-0.048726	-0.063364	0.164406	0.102453	0.249119	-0.038797	-0.031931	-0.008228
0.580000	-0.026562	-0.009651	-0.068198	0.073821	0.355070	0.117271	-0.004112	-0.031931	-0.008228
0.585000	0.207918	-0.009711	1.231651	1.249115	0.017022	0.196187	-0.061168	-0.191219	0.005592
0.590000	-0.026562	0.146170	0.746921	0.761552	-0.453404	0.153029	-0.036835	-0.236811	-0.615260
0.595000	0.012623	-0.048606	-0.066451	0.083293	-0.318173	0.051860	-0.026403	-0.031931	-0.008228
